resource_id,tileid,nodegroup,,,,,,,,,,,,,,,,,,,,
--,--,marriage  (n),marriage_number,p107_has_current_or_former_member,,,,,,,,,,,,,,,,,,
73de065b-37b3-4ee6-a19c-3ca32b192300,,,,,,,,,,,,,,,,,,,,,,
421e02ee-d258-4fbc-a938-ef790d134793,,,,,,,,,,,,,,,,,,,,,,
73be5c37-2271-4230-85c3-d6a4c0fd9270,,,,,,,,,,,,,,,,,,,,,,
918654a7-0a1c-406a-bd81-8def2e281f49,,,,,,,,,,,,,,,,,,,,,,
8bb74ee7-1131-4af8-9726-2ee187402335,,,,,,,,,,,,,,,,,,,,,,
bd859c8c-2584-4b5f-8fbb-fdf10fd29067,,,,,,,,,,,,,,,,,,,,,,
fbea2cf9-f27b-4950-893d-5353cd0a2267,,,,,,,,,,,,,,,,,,,,,,
a43536f7-66ae-4288-be43-a4b20c6bd2bf,,,,,,,,,,,,,,,,,,,,,,
b2ccf888-8320-4465-862a-594e5787f950,,,,,,,,,,,,,,,,,,,,,,
369f1683-3ff0-4bd3-9e6d-63d090e37b22,,,,,,,,,,,,,,,,,,,,,,
e9747450-adbe-4342-9b2d-d6f1e404093c,,,,,,,,,,,,,,,,,,,,,,
722564bd-1b94-40d8-9b17-a160e05c851b,,,,,,,,,,,,,,,,,,,,,,
b3a260d4-cfe1-4e5d-bfaa-ce15c536397a,,,,,,,,,,,,,,,,,,,,,,
242dfe0e-4aff-48fa-abaf-87e202118bb4,,,,,,,,,,,,,,,,,,,,,,
295ad47c-87fa-4cab-a14a-88b027333c6b,,,,,,,,,,,,,,,,,,,,,,
117e5c5c-61d7-411c-80a2-e0250269e21a,,,,,,,,,,,,,,,,,,,,,,
d6baa9af-3981-46a4-bc03-a5a0ab6c3e88,,,,,,,,,,,,,,,,,,,,,,
8d28bc76-d96d-4440-bbef-996d1b3d23fe,,,,,,,,,,,,,,,,,,,,,,
0e870515-944a-4a4d-bb19-7786ad857b5f,,,,,,,,,,,,,,,,,,,,,,
f8367f17-a164-4d37-92ec-dc1dd8ee3723,,,,,,,,,,,,,,,,,,,,,,
9f43a234-bd08-4db2-97ec-f9dcd9cc5dc0,,,,,,,,,,,,,,,,,,,,,,
d4e87082-62c7-42ed-a8aa-34c9287cd3b6,,,,,,,,,,,,,,,,,,,,,,
cda8878d-f303-48cb-b0f3-61bcbc5cd116,,,,,,,,,,,,,,,,,,,,,,
d86c4d0e-f9a7-4909-aaf2-beb408215ee2,,,,,,,,,,,,,,,,,,,,,,
69bb25c8-ebac-432d-a407-caea7fe7342a,,,,,,,,,,,,,,,,,,,,,,
f547f4b3-c1e5-493d-ae89-4a78a7f2d2ee,,,,,,,,,,,,,,,,,,,,,,
cd4e804b-d187-4d33-9942-f042b7c0eda1,,,,,,,,,,,,,,,,,,,,,,
e2b474cf-3c16-4d51-aa78-59fb9580d406,,,,,,,,,,,,,,,,,,,,,,
3ddeed9b-3661-43fd-8090-af44255fdf15,,,,,,,,,,,,,,,,,,,,,,
5b6a884d-b98b-48ff-9922-aecc6f15c11e,,,,,,,,,,,,,,,,,,,,,,
61192a5a-91e3-46c0-829f-2ed8799b6781,,,,,,,,,,,,,,,,,,,,,,
