id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP43SP000014,,SP01SP000016,Mesa,,Rodrigo,,Rodrigo  Mesa ,Rodrigo de Mesa,,,0,0,,,,,"Brother of Pedro de Ruiz, neighboor of Chillón Villa",
SP43SP000015,,SP01SP000016,Ruiz,,Pedro,,Pedro  Ruiz ,Pedro de Ruiz,,,0,0,,,,,"Brother of Rodrigo de Mesa, neighboor of Chillón Villa",
SP44SP000088,,,Romero,,Juan,,Juan  Romero ,Juan Esteban Romero,,,0,0,,,,,neighbour of the ville of Belalcazar,
SP46SP000001,,,Laredo,,Juan,,Juan  Laredo ,Juan de Laredo,,merchants,0,0,,,,,"neighbour San Sebastian, guipuzcoano.",
SP46SP000254,,,Bengochea,,Domingo,,Domingo  Bengochea ,Domingo de Bengochea,,maritime pilots,0,0,,,,,"maestre de la nao Santa María, vecino de la villa de San Sebastián, que es en la provincia de Guipúzcoa, also apears as Bengoche",
SP46SP001427,,,Pérez,Dubilla,Juan,,Juan  Pérez Dubilla,Juan Pérez Dubilla,46SP,maritime pilots,0,0,,,,,"neighbour san sebastians, maestre nao santa barbara",
SP46SP001446,,,Arracastra,,Guillen,,Guillen  Arracastra ,Guillen de Arracastra,,maritime pilots,0,0,,,,,"neighbour san sebastian, maestre nao maria",
SP46SP001447,,,Sotonia,,Gaytan,,Gaytan  Sotonia ,Gaytan de Sotonia,,scribes,0,0,,,,,"neighbour san sebastian, scribe of nao maria",
SP46SP001448,,,Trujillo,,Miguel,,Miguel  Trujillo ,Miguel de Trujillo,,maritime pilots,0,0,,,,,neighbour san sebastian maestre nao maria,
SP49SP000140,,,Martín,,Luis,,Luis  Martín ,Luis Martín,,soap maker,0,0,,,,,"husband of Juana Martínez, holds contract of rent and soap making for Oberto di Negro",
SP50SP000455,,,Timo,,Bartolomé,,Bartolomé  Timo ,Bartolomé Timo,,,0,0,,,,,conducts business with Francisco de rivarolo,
SP50SP001745,,,Martínez,Santiago,Juan,,Juan  Martínez Santiago,Juan MArtinez escudero,,muleteer,0,0,Elvira,García,,,neighbour Bollullos,
SP50SP001746,,,Martin,Escudero,Juan,,Juan  Martin Escudero,Juan Martin Escudero,,muleteer,0,0,Catalina,Fernández,Castillo,,neighbour Bollullos,
