de, ,Dezerega, ,, ,,de Dezerega  ,,
de, ,Diano, ,, ,,de Diano  ,,
de, ,Dominicis, ,, ,,de Dominicis  ,,
de, ,Domo, ,David, ,,de Domo David ,,
de, ,Domoculta, ,, ,,de Domoculta  ,,
de, ,Dona, ,, ,,de Dona  ,,
de, ,Dondedeo, ,, ,,de Dondedeo  ,,
de, ,Elena, ,, ,,de Elena  ,,
de, ,Emendanio, ,de, ,Cocha,de Emendanio de Cocha,,
de, ,Emico, ,, ,,de Emico  ,,
de, ,Erzenis, ,, ,,de Erzenis  ,,
de, ,Facio,,, ,,de Facio ,,
de, ,Favale, ,, ,,de Favale  ,,
de, ,Faxiis, ,, ,,de Faxiis  ,,
de, ,Ferrari,,, ,,de Ferrari ,,
de, ,Ferraverio, ,, ,,de Ferraverio  ,,
de, ,Ferreria, ,, ,,de Ferreria  ,,
de, ,Filippo, ,, ,,de Filippo  ,,
de, ,Finamore, ,, ,,de Finamore  ,,
de, ,Finario, ,, ,,de Finario  ,,
de, ,Florentia, ,, ,,de Florentia  ,,
de, ,Fo, ,, ,,de Fo  ,,
de, ,Fontanegio, ,, ,,de Fontanegio  ,,
de, ,Fornari, ,, ,,de Fornari  ,,
de, ,Forte, ,, ,,de Forte  ,,
de, ,Fossatello, ,, ,,de Fossatello  ,,
de, ,Fossato, ,, ,,de Fossato  ,,
de, ,Framura, ,, ,,de Framura  ,,
de, ,Franchi,,, ,,de Franchi ,,
de, ,Franciscis, ,, ,,de Franciscis  ,,
de, ,Franco, ,, ,,de Franco  ,,
de, ,Frassineto, ,, ,,de Frassineto  ,,
de, ,Fravega, ,, ,,de Fravega  ,,
de, ,Frencio, ,, ,,de Frencio  ,,
de, ,Gaetano, ,, ,,de Gaetano  ,,
de, ,Gaffolo, ,, ,,de Gaffolo  ,,
de, ,Gagiano, ,, ,,de Gagiano  ,,
de, ,Gambarinis,,, ,,de Gambarinis ,,
de, ,Garbegno, ,, ,,de Garbegno  ,,
de, ,Garexio, ,, ,,de Garexio  ,,
de, ,Gaudencio, ,, ,,de Gaudencio  ,,
de, ,Gavio, ,, ,,de Gavio  ,,
de, ,Giacomo, ,, ,,de Giacomo  ,,
de, ,Gibeletto, ,, ,,de Gibeletto  ,,
de, ,Gibraleón, ,, ,,de Gibraleón  ,,
de, ,Giovanni, ,, ,,de Giovanni  ,,
de, ,Giovanni, ,, ,,de Giovanni  ,,
de, ,Goano,,, ,,de Goano ,,
de, ,Godano, ,, ,,de Godano  ,,
de, ,Gordena, ,, ,,de Gordena  ,,
de, ,Goterio, ,, ,,de Goterio  ,,
de, ,Gradis, ,, ,,de Gradis  ,,
de, ,Graffignis, ,, ,,de Graffignis  ,,
de, ,Granis, ,, ,,de Granis  ,,
de, ,Gravaigo, ,, ,,de Gravaigo  ,,
de, ,Groleriis,,, ,,de Groleriis ,,
de, ,Gualterio, ,, ,,de Gualterio  ,,
de, ,Guarco, ,, ,,de Guarco  ,,
de, ,Guasco, ,, ,,de Guasco  ,,
de, ,Guasconibus, ,, ,,de Guasconibus  ,,
de, ,Guasconibus, ,, ,,de Guasconibus  ,,
de, ,Guercio, ,, ,,de Guercio  ,,
de, ,Guirardis, ,, ,,de Guirardis  ,,
de, ,Guisulfis, ,, ,,de Guisulfis  ,,
de, ,Guizo, ,, ,,de Guizo  ,,
de, ,Herrera, ,, ,,de Herrera  ,,
de, ,Ianello, ,, ,,de Ianello  ,,
de, ,Ianoto, ,, ,,de Ianoto  ,,
de, ,Ibiza, ,, ,,de Ibiza  ,,
de, ,Illice, ,, ,,de Illice  ,,
de, ,Illionibus, ,, ,,de Illionibus  ,,
de, ,Illuminatis, ,, ,,de Illuminatis  ,,
de, ,Inghibertis, ,, ,,de Inghibertis  ,,
de, ,Insula, ,, ,,de Insula  ,,
de, ,Insulahona, ,, ,,de Insulahona  ,,
de, ,Ioardis, ,, ,,de Ioardis  ,,
de, ,Iordanis, ,, ,,de Iordanis  ,,
de, ,Iosia, ,, ,,de Iosia  ,,
de, ,Isnardo, ,, ,,de Isnardo  ,,
de, ,Itro, ,, ,,de Itro  ,,
de, ,Iudice, ,, ,,de Iudice  ,,
de, ,Iugo, ,, ,,de Iugo  ,,
de, ,Iussano, ,, ,,de Iussano  ,,
de, ,Ivanis, ,, ,,de Ivanis  ,,
de, ,Labaino, ,, ,,de Labaino  ,,
de, ,Lacavara, ,, ,,de Lacavara  ,,
de, ,Lacu, ,, ,,de Lacu  ,,
de, ,Lacumarcino, ,, ,,de Lacumarcino  ,,
de, ,Lagnelo, ,, ,,de Lagnelo  ,,
de, ,Lagorrea, ,, ,,de Lagorrea  ,,
de, ,Lam, ,, ,,de Lam  ,,
de, ,Lancia, ,, ,,de Lancia  ,,
de, ,Lanfranchis, ,, ,,de Lanfranchis  ,,
de, ,Langasco, ,, ,,de Langasco  ,,
de, ,Lavagino, ,, ,,de Lavagino  ,,
de, ,Lavagino, ,, ,,de Lavagino  ,,
de, ,Lavania, ,, ,,de Lavania  ,,
de, ,Lavazaris, ,, ,,de Lavazaris  ,,
de, ,Lavello, ,, ,,de Lavello  ,,
de, ,Lavezola, ,, ,,de Lavezola  ,,
de, ,Laxania, ,, ,,de Laxania  ,,
de, ,Lazarino, ,, ,,de Lazarino  ,,
de, ,Lazario, ,, ,,de Lazario  ,,
de, ,Lecho, ,, ,,de Lecho  ,,
de, ,Leonardis,,, ,,de Leonardis ,,
de, ,Leone, ,, ,,de Leone  ,,
de, ,Lercunnelo, ,, ,,de Lercunnelo  ,,
de, ,Lerma, ,, ,,de Lerma  ,,
de, ,Lesinasco, ,, ,,de Lesinasco  ,,
de, ,Levanto,,, ,,de Levanto ,,
de, ,Ligioriis, ,, ,,de Ligioriis  ,,
de, ,Linario, ,, ,,de Linario  ,,
