Start date,End date,Name,Number,Note
14610101,14611231,"Iacobus, seaterius de Placentia",5,
14610101,14611231,Tobias q. Damiani Gentilis olim Palavicinus,6,
14610101,14611231,Iohannes Franciscus Parmarius,7,
14610101,14611231,Ieronimus q. Benedicti Spinula,8,
,, ,,
14620101,14621231,Iacobus Cigalla,1,
14620101,14621231,Antonius q.Petri de Auria,2,
14620101,14621231,Matheus de Bracellis,3,
14620101,14621231,Antoniotus de Cabella,4,
14620101,14621231,Andronicus de Franchis de Burgaro,5,
14620101,* 14620108,Marcus de Cassina,6,
14620101,14621231,Benedictus Lercarius,7,
14620101,14621231,Dominicus Lomelinus,8,
* 14620108,14621231,Pelegrus de Monelia,"6,1",S
,, ,,
14630101,14631231,Guirardus de Goano,1,
14630101,14631231,Lucianus de Grimaldis,2,
14630101,14631231,Marcus de Marinis,3,
14630101,14631231,Ieronimus de Sale,4,
14630101,14631231,Iohannes q. Ambrosii Iustinianus olim de Banci,5,
14630101,14631231,Galeacius Pinellus,6,
14630101,14631231,Manuel Salvaigus,7,
14630101,14631231,Octobonus Scalia,8,
,, ,,
14640101,14641231,Bardasar Adurnus,1,
14640101,14641231,Baptista lanerius de Albara,2,
14640101,14641231,Antonius faber de Platono,3,
14640101,14641231,Salvagius de Vivaldis,4,
14640101,14641231,Pancratius Gentilis olim Falamonica,5,
14640101,14641231,Bardasar Lomelinus,6,
14640101,14641231,Bendinellus Sauli,7,
14640101,14641231,Alexander Spinula,8,
,, ,,
14650101,14651231,Raphael de Andoria,1,
14650101,14651231,Iacobus q. Bartholomei de Auria,2,
14650101,14651231,Antonius de Casana,3,
14650101,14651231,Matheus de Flisco,4,
14650101,14651231,Christoferus de Podio,5,
14650101,14651231,Bartholomeus Italianus,6,
14650101,14651231,Baptista q. Iohannis Iustinianus,7,
14650101,14651231,Benedictus Salvaigus,8,
,, ,,
14660101,14661231,Paulus Baptista Calvus,1,
14660101,14661231,Thomas Cigala,2,
14660101,14661231,Andreas de Domoculta,3,
14660101,14661231,Raphael de Franchis de Burgaro,4,
14660101,14661231,Iohannes Ambroxius de Marinis,5,
14660101,14661231,Peregrus de Monelia,6,
14660101,14661231,Ambrosius Pinellus,7,
14660101,14661231,Laurentius Presenda,8,
,, ,,
14670101,14671231,Antonius Argiroffus,1,
14670101,14671231,Marcus Cattaneus,2,
14670101,14671231,Iohannes de Bartholomeo,3,
14670101,14671231,Alaonus Gentilis,4,
14670101,14671231,Petrus Scalia,5,
14670101,14671231,Marcus Lercarius,6,
14670101,14671231,Leonardus Sauli,7,
14670101,14671231,Ambrosius q. A. Spinula,8,
,, ,,
14680101,14681231,Iohannes de Invrea,1,
14680101,14681231,Nicolaus de Marinis,2,
14680101,14681231,Lazarus de Auria,3,
14680101,14681231,Nicolaus Italianus,4,
14680101,14681231,Carolus Lomelinus,5,
14680101,14681231,Iulianus Maruffus,6,
14680101,14681231,Iohannes Franciscus Parmarius,7,
14680101,14681231,Rafael Richeme,8,
,, ,,
14690101,14691231,Antonius Boconus,1,
14690101,* 14690515,Philippus de Camilla,2,
14690101,?,Iohannes Baptista de Grimaldis,3,
14690101,14691231,Hieronimus de Montessoro,4,
14690101,14691231,Lucianus de Rocha,5,
14690101,14691231,Christoferus de Salvo,6,
14690101,14691231,Bartholomeus Imperialis,7,
14690101,14691231,Iohannes Franciscus Spinula,8,
* 14690515,14691231,Gregorius Lercarius,"2,1",S
?,14691231,Paulus Lomelinus,"3,1",S
,, ,,
14700101,14701231,Ceva de Auria,1,
14700101,14701231,Antoniotus de Cabella,2,
14700101,14701231,Hieronimus de Sale,3,
14700101,14701231,Darius de Vivaldis,4,
14700101,14701231,Antonius Iustinianus,5,
14700101,14701231,Paulus q. Stephani Lomelinus,6,
14700101,14701231,Francus Pinellus olim Lucianus,7,
14700101,14701231,Bendinellus Sauli,8,
,, ,,
14710101,14711231,Ieronimus de Assereto,1,
14710101,14711231,Constantinus de Marinis,2,
14710101,14711231,Iacobus de Placentia,3,
14710101,14711231,Dominicus de Prementorio,4,
14710101,14711231,Ieronimus Gentilis,5,
14710101,14711231,Paulus Maruffus,6,
14710101,14711231,Iulianus Salvaigus,7,
14710101,14711231,Antonius q. Ambrosii Spinula,8,
,, ,,
14720101,14721231,Paulus de Auria,1,
14720101,14721231,Hieronimus de Grimaldis olim Ceba,2,
14720101,14721231,Peregrus de Mandello,3,
14720101,14721231,Gaspar Simonis de Nigrono,4,
14720101,14721231,Bartholomeus Italianus,5,
14720101,14721231,Baptista q. Iohannis Iustinianus,6,
14720101,14721231,Antonius Pichenotus,7,
14720101,14721231,Antonius Restanus,8,
,, ,,
14730101,14731231,Augustinus Caffarotus,1,
14730101,14731231,Marcus Cattaneus,2,
14730101,14731231,Iacobus de Amigdola,3,
14730101,14731231,Iohannes Petrus de Vivaldis,4,
14730101,14731231,Iohannis q. Andree Gentilis,5,
14730101,14731231,Leonardus Sauli,6,
14730101,14731231,Franciscus Scalia,7,
14730101,14731231,Alexander q. Opicini Spinula,8,
,, ,,
14740101,14741231,Fredericus Cigalla,1,
14740101,14741231,Alaonus de Auria,2,
14740101,?,Iohannes Antonius de Canali,3,
14740101,14741231,Antonius de Cassina,4,
14740101,14741231,Ianus de Galiano,5,
14740101,14741231,Iohannes Baptista de Grimaldis,6,
14740101,14741231,Iacobus Iustinianus,7,
14740101,?,Gregorius Lercarius,8,
?,14741231,Antonius Argiroffus,"3,1",S
?,14741231,Augustinus Lomelinus,"8,1",S
,, ,,
14750101,14751231,Antonius Boconus,1,
14750101,14751231,Christoferus de Davania,2,
14750101,14751231,Filippus de Camilla,3,
14750101,14751231,Iohannes de Franchis Figomus,4,
14750101,14751231,Ambrosius de Marinis,5,
14750101,14751231,Raphael de Vivaldis,6,
14750101,14751231,Angelus Ihocia,7,
14750101,14751231,Casanus Spinula,8,
,, ,,
14760101,14761231,Iacobus de Casanova,1,
14760101,14761231,Nicolaus de Marco,2,
14760101,14761231,Dominicus de Prementorio,3,
14760101,14761231,Philippus de Nigro,4,
14760101,* 14761001,Ceva de Auria,5,
14760101,* 14761001,Baptista Gentilis,6,
14760101,14761231,Philippus Lomelinus,7,
14760101,14761231,Ieronimus de Sale,8,
,, ,,
14770101,14771231,Philippus de Goano,1,
14770101,14771231,Galeatius de Levanto,2,
14770101,14771231,Nicolaus de Marinis,3,
14770101,14771231,Christoferus de Sarno,4,
14770101,14771231,Paris de Flisco,5,
14770101,14771231,Iulianus Salvaigus,6,
14770101,14771231,Bendinellus Sauli,7,
14770101,14771231,Ambrosius Spinula,8,
14770101,14771231,Iohannes Guirardus,"4,1",S
14770101,14771231,Iohannes Strata,"4,2",S
14770101,14771231,Nicolaus de Marchi,"7,1",S
,, ,,
14780101,14781231,Raphael de Andoria,1,
14780101,14781231,Raphael de Auria,2,
14780101,14781231,Bartholomeus de Maiollo,3,
14780101,14781231,Iulianus de Nigro,4,
14780101,14781231,Baptista de Ricobono,5,
14780101,14781231,Marchus Gentilis,6,
