o:id,name,family,source-name(s),patrilineage,o:loconym,edoa,ldoa,o:gender,o:occuptn,o:nationality,o:spouse,o:parent,o:children,identifier,url,note
30275,Ferrando de Vignaga,de Vignaga,Ferrando de Visnaga biscaglino | Ferrando de Vignaga mercatori bischayno,,,1432,1457,44817,27578,44269,,,,6c461acf-3f30-4cac-b9bd-e7525860dc63,http://www.genoesemerchantnetworks.com/s/main/item/30275,
41001,Fiacono Gatto,Gatto,Fiacono Gato de Fiacono ferrario quondam Francischi civ[e] Ianue,Fiacono Gatto q. Francesco,,1432,1457,44817,41002,31356 | 44433,,41003,,060741ef-3c71-4843-8d7e-ae709a310b6f,http://www.genoesemerchantnetworks.com/s/main/item/41001,
41113,Filippo Arbicone,Arbicone,Arbiconus... Phillipi,,,1421,1453,44817,,31356,,,27211,49a72f50-252b-4937-a9ed-466777811294,http://www.genoesemerchantnetworks.com/s/main/item/41113,"ASCGe, Manoscritti 52, fol. 31: ""Filippo Arbicone partitor per P. N. 1439… Consigliero 1446… ubi Gibellino, sua lite sospesa 1447… artefice Gibellino 1450… nominato in Antonio de Luco 1451… litiga con Antonio de Calvi 1453… Officiale de Gazaria 1453."""
37383,Filippo Aurego,Aurego,Filipo Ihauroye civi Ianue | Filippo Auroge | Filippo Laurego,,,1433,1458,44817,,31356,,,,baac5cf0-0604-4e34-a275-17a581e941ad,http://www.genoesemerchantnetworks.com/s/main/item/37383,
23084,Filippo Benegassi,Benegassi,,,,,,44817,,,,,23085,6b069911-6c1a-4f45-b1e9-fe8d3df5c4ba,http://www.genoesemerchantnetworks.com/s/main/item/23084,
23145,Filippo Camilla,Camilla,Filippo de Camilla | Filippo quondam Cattanei | Filipi de Camila quondam Catanei,Filippo Camilla q. Cattaneo,,1432,1491,44817,,,24989,23141,,914e364b-7f64-48e1-8368-4dacbc0e8c1c,http://www.genoesemerchantnetworks.com/s/main/item/23145,"ASCGe, Manoscritti 55, fol. 74: ""Filippo quondam Cattanei come in fogliazzo di Lorenzo Costa 1468 16 martis… mandato alla Spezza per pagare soldati 1449… partitore 1450… terzo Guelfo 1451… Anziano 1457… Officiale del Sale 1459… e nominato in Iohannes de Luco 1459… Partitor 1460… Officiale di San Giorgio 1461 e 66… Anziano 1467… Officiale di San Giorgio 1469… Anziano 1471… officiale di San Giorgio 1471… sindicatore e riformatore de Capituli 1473… Clavigero del Cattino 1474… Officiale di San Giorgio 1475… Anziano 1477… Officiale di ‘44 1478… Officiale di Sanità 1479… emendator di Cabelle 1479… Officiale di Mercanzia, e di Scio 1480… Anziano 1481… Partitor 1482… Officiale di San Giorgio 1486… Anziano 1488… consigliero 1488… Officiale di Franchixie 1490… anziano 1491… officiale di ‘44 1483… Officiale di Misericordia 1479… padre del commune 1490."""
43229,Filippo Cassana,Cassana,Philipum de Casana | Filippo quondam Paschalis fu drappero | Philipus de Casana draperius quondam Pasqualis,Filippo Cassana q. Pasquale,,1449,1476,44817,27625,31356,,43230,,91ac3c76-b194-44a4-a0e1-95dc6eeaafcc,http://www.genoesemerchantnetworks.com/s/main/item/43229,"ASCGe, Manoscritti 17, fols. 42r-43r: ""1453 Filippo quondam Paschalis fu drappero come in Giovanni de Luco… 1455, 71 consigliero Gibellino… 1473 fu sindicatore… 1475 dell’uffizio della Camera… 1476 console della ragione."""
23198,Filippo Cattaneo,Cattaneo,,Filippo Cattaneo q. Cristoforo,,,,44817,,,24982,23195,23222,a62b58b6-ba88-4103-bed6-1977013f16f6,http://www.genoesemerchantnetworks.com/s/main/item/23198,
23199,Filippo Cattaneo,Cattaneo,,Filippo Cattaneo q. Isnardo,,1565,1587,44817,,,24593,23208,,f451e2f6-c6bd-49f7-9bd9-7ebada821860,http://www.genoesemerchantnetworks.com/s/main/item/23199,"ASCGe, Manoscritti 17, fol. 142r: ""1587 agosto loco Filippo quondam Isnardo estratto Senatore Governtore."""
23200,Filippo Cattaneo,Cattaneo,Filippo Cattaneo de Volta | Cattanei... quondam Philipi | Cataneo Philipi,,,1430,1470,44817,,,,,23195 | 43890,4f8bcf59-e8f0-40e2-8027-ca219211dda7,http://www.genoesemerchantnetworks.com/s/main/item/23200,
