o:id,identifier,o:spouse
24292,79d124aa-489f-4a8c-b3ea-84a02cd3ddc9,23152
24005,e89876a3-f461-4579-a196-7d1d92d2309b,23153
24793,b1f9f4ec-cf6b-4e02-8540-f184db3deb71,23157
24680,f46e3088-9f1d-4d0d-a8c0-d00373b46717,23160
24565,d56176c0-0836-4313-8ad9-69d0e445f634,23164
25019,0f70c654-339a-4f88-8b9c-cf585fc41abe,23172
25238,cc6d0100-dbe9-42e7-a087-b88b4a7d1626,23175
25175,56d7f9d7-bace-4980-9dda-29c6999c25f1,23177
25495,9b8f1d38-0c49-4b67-b1c6-f11c72ded7cd,23178
24710,4f2bc589-4495-456f-90f8-f725870a843c,23182
24816,cc2359b7-6cb5-490e-842c-ffc0e318f45e,23188
23989,628cbee7-f487-41c8-83a9-b4993f5bf78e,23189
24916,b7348bab-5c1e-40cf-b5a1-39f8ef5dbebe,23190
24103,29fd3dd1-36a8-435a-bf10-e5dad69e5b68,23192
23089,0d906b2d-4578-4c6c-bdd8-97f49cf73d60,23193
23805,3d3a4c8e-ce7e-440f-8fa6-bd85200d6242,23193
24820,6c07944a-c835-4f6e-9fe5-4fb7315c6284,23195
24852,5dd95f6d-7d22-4000-885f-541e8afccf1e,23196
24982,668e325d-7519-4e9d-a552-a2c40aadddc4,23198
24593,90c089d1-791a-46be-acd5-41bc8d1301b3,23199
24360,ff3df7b5-82b1-4e0d-ac2f-06778f99e622,23202
25203,bcfcf535-d30c-4d37-9fab-75e8cdb242c0,23203
24534,413d03f2-0dfb-49a7-b641-4839151643e5,23206
43974,a39ee110-1e7e-4742-82b9-a001d01359e7,23209
24837,68c3b92d-0c6d-4142-b07f-f1da51204c7b,23211
23982,93edd262-93c2-4d53-a5c4-d018fb2c97bc,23213
41904,d43ce108-0a43-4d15-a2d9-01fec9264cb4,23215
23918,a2bd8405-d129-46a4-8f98-896d3c6a0323,23216
23932,b3dcd007-badb-4dec-abe3-039ef462f0cf,23217
24853,1bf71f6e-2276-446c-ac0a-9497ca5675ab,23219
